Feedback,Q39,Q40,Q1,Q37,Q28,Q29,Q32,Q35,Q33,Q41,Q2,Q34,Q38,Q31,Q36,Q27,Q26
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,7
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,7
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,7
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,6
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,7
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,7
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,7
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,7
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,4
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,3,5
CIF,2,2,1,1,3,1,1,4,2,2,2,1,1,1,4,2,5
CIF,2,2,1,1,3,1,1,4,2,2,1,3,1,2,4,2,7
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,6
CIF,2,2,1,1,3,1,1,4,2,2,2,1,2,1,4,2,7
NF,1,3,3,2,3,8,8,2,2,2,3,3,3,4,2,2,1
NF,2,2,3,2,1,1,1,2,2,2,3,4,1,4,1,1,6
NF,2,2,2,2,3,1,3,1,1,2,3,4,1,4,1,1,4
NF,2,1,2,2,1,3,3,1,3,2,3,4,1,4,2,2,3
NF,2,2,2,2,1,1,1,2,2,2,3,4,1,4,1,1,5
NF,2,2,2,2,1,1,1,2,1,2,3,4,1,4,1,1,4
NF,2,2,2,2,1,1,8,3,2,2,3,4,1,4,1,1,6
NF,2,1,2,2,1,1,1,2,2,2,3,4,1,4,1,1,6
NF,2,2,2,2,1,1,1,2,2,2,3,4,1,4,1,1,6
NF,2,1,2,2,1,1,1,2,2,2,3,4,1,4,2,1,5
NF,2,2,2,2,3,1,1,1,2,2,3,4,1,4,1,1,6
NF,2,2,2,2,8,8,8,2,2,2,3,4,1,4,1,2,2
