Feedback,Please upload your parallel coordinates plot here.,What is missing from the Parallel Coordinates chart that was generated using RawGraphs? What would you have liked to add to it? ,Which two cereals have the highest sugars? ,Which is the cereal that has the most fiber? ,Which are the two manufacturers (mfr) that make the highest vitamin cereals? ,Name one of the two cereals that have a rating of less than 20? ,Which cereal has a sodium value of over 250 *and* sugars over 5? ,"On the same page towards the top, click on the ""Download screenshot"" button and upload your parallel coordinates plot here.","If there are any additional functionalities that you would have liked to include in your plot, please list them here"
CIF,Link to uploaded file omitted,axes labels,Golden Crisps and Smacks,All bran,K and G,Cinnamon Toast Crunch,All Bran,Link to uploaded file omitted,ordering and filtering of table columns 
CIF,Link to uploaded file omitted,"There were no axes labels on the graph.  The color legend wasn't really included in the plot, either, but at least the control for it was right next to the plot (unlike the control for the variables, which I had to scroll to see).  ",Golden Crisp & Smacks,All-Bran with Extra Fiber,K and G,Cap'n'Crunch,Golden Grahams,Link to uploaded file omitted,"Being able to sort the columns in the table below (the header cells look clickable, so I had my hopes up)"
CIF,Link to uploaded file omitted,"The color legend is not on the graph, and the parallel axis category name is also missing",1.Golden Crisp 2.Smacks,All Bran with Extra Fiber,Total Corn Flakes and Total Rasin Grain,1. Cap'n'Crunch,Cinnamon Toast Crunch,Link to uploaded file omitted,"Make the click and drag and zoom, filter, blushing easier to use in the future, it is extremely slow at this point with so many data."
CIF,Link to uploaded file omitted,Legend and the axes labels,"Apple Jacks, Golden Crisp",All Bran with Extra Fiber,"K, G",Capn Crunch,Golden Grahams,Link to uploaded file omitted,
CIF,Link to uploaded file omitted,Labeling of the x and title. ,"Smacks, Golden C, ",All Brain,"Wheat, Muesli ","Captain Crunch, Cinniman toast crunch ",Golden G ,Link to uploaded file omitted,None what so ever. Maybe a pan and zoom feature to read the variables on the axis of the parallel coordinates. 
CIF,Link to uploaded file omitted,"Title, axis labels, min and max values for each of the axis, interactions such as hovering, filtering and brushing, color legend",Golden Crisp and Smacks,All BRan with extra Fiber,K and G,Cap'n'Crunch,All-Bran and Golden Grahams,Link to uploaded file omitted,ability to color encode? 
CIF,Link to uploaded file omitted,"a lot of the interactive features used for reading the chart are missing, I would like to drag different axes around and highlight individual lines. ","Golden Crisp, and Smacks",All-Bran with extra fiber,K and G,Cinnamon Toast Crunch,Golden Grahams,Link to uploaded file omitted,
CIF,Link to uploaded file omitted,color legend,-,-,-,-,-,Link to uploaded file omitted,
CIF,Link to uploaded file omitted,some varibel or aixs are missing ,"smacks, Golden crisp",All bran with extra,K G,"cinimon toast crunch, cap'n' crunch",Giolden Grahams,Link to uploaded file omitted,
CIF,Link to uploaded file omitted,I think it is easy to use and I do not think something need to be added yet,Golden Crisp,All-Bran with Extra Fiber,"G, K","Cap'n'Crunch, Cinnamon Toast Crunch","Golden Grahams, Honey Nut Cheerios",Link to uploaded file omitted,
CIF,Link to uploaded file omitted,My titles are overlapping and I am not sure how to fix it,I cannot access it,NA,NA,NA,NA,Link to uploaded file omitted,
CIF,Link to uploaded file omitted,the color legends that labels what country it is,Golden Grahams and smacks,All bran with extra fiber,"Product 19, total corn flakes",,,Link to uploaded file omitted,
CIF,Link to uploaded file omitted,Legend (I couldn't click and Download button and make it work so I just took a screenshot) ,Smacks and Golden Crisp,All-bran with Extra Fiber,K and G,None,Honey nut cheerios,Link to uploaded file omitted,The filtering is not very easy to use
CIF,Link to uploaded file omitted,"Chart's title is missing and there is no option to add it. Discrete colour schema has only 10 colours, I'd like to add much more. left and right margins were too small to see all the data. I liked that axes names and measurements were added automatically.","golden crisp, smacks",All-Bran with Extra Fiber,"K, G",Cap'n'Crunch,Golden Grahams,Link to uploaded file omitted,"names of cereals were not visible on the left, would be nice to see full names  there and names were not selectable, copyable from the table, it is not convenient. Would be nice to add option double-click on the name and  it all highlights and can be copied to the buffer and pasted later on into the google form or whatever else. Filtering on one axis is not always clear and sometimes it didn't show all data after it was lifted, would be nice to make it more user friendly by adding removing options like 'clear filtering of x axis', 'clear all filtering'. Export works ok, but it cuts names of the first axis, I didn't find a way to add margins. Dragging axis option and axis measurement reordering by double click work great! Also I'd like to add scaling to the functionality and colouring to the chart."
NF,Link to uploaded file omitted,I don't know everything seems to be there including the legend which can be added using the menu bar on the left,"Golden Crisp, Smacks","All-Bran with Extra Fiber, 100% Bran","K, G","Cap'n'Crunch, Cinnamon Toast Crunch",Golden Grahams,Link to uploaded file omitted,
NF,Link to uploaded file omitted,color,total rasin ,whole wheat,total corn,,,Link to uploaded file omitted,
NF,Link to uploaded file omitted,I want to be able to move the position of the axis ,"Golden Crisp, Post Nat. Rasin",All Bran with extra Fiber,K and G,Cinnamon Toast Crunch,Golden Grams,Link to uploaded file omitted,
NF,Link to uploaded file omitted,it was clear,golden crisps,All-Bran with Extra Fiber,All-Bran with Extra Fiber,All-Bran with Extra Fiber,All-Bran with Extra Fiber,Link to uploaded file omitted,no
NF,Link to uploaded file omitted,no legend,"golden grisp, apple jacks",All bran with extra f,K ,cap's n crunch,golden grahams,Link to uploaded file omitted,none
NF,Link to uploaded file omitted,Nothing missing from it,smacks,All-Bran with Extra Fiber,G and K,Cap'n Crunch & Cinnamon Toast Crunch,Golden Grahams,Link to uploaded file omitted,
NF,Link to uploaded file omitted,The pre-assigned colors were limited.,Golden Crisp and Smacks,Post nat. Raisin Bran,K and G,,Captain Crunch and Cinnamon Toast Crunch,Link to uploaded file omitted,
NF,Link to uploaded file omitted,There is no option to export the image!!!!!,golden crisp apple jacks,all bran,just right and total,trix ,triples,Link to uploaded file omitted,
NF,Link to uploaded file omitted,Colors because I did not add it,"Smacks, Golden",All-bran,"Total, Just Right",,,Link to uploaded file omitted,
NF,Link to uploaded file omitted,im not sure,Smacks,shreed,total,"cinnam,cap'n",golden,Link to uploaded file omitted,
NF,Link to uploaded file omitted,nothing was missing that i can see,smacks and total r,All-Bran with Extra Fiber and 100% Bran,just right and total,cap n crunch and cinnamon toast crunch,Golden Grahams,Link to uploaded file omitted,probably just to expand name of the cereal in tool
NF,Link to uploaded file omitted,.,"Golden Cirsp, Smacks",All-Bran with EXtra Fiber,"N, K",Cap'n'Crunch,"Golden Grahams, Honey Nut Cheerios",Link to uploaded file omitted, 
