IPAddress,RecordedDate,Feedback,Line,Bar,Stacked Bar,Percent Stacked Bar,Pie,Histogram,Scatterplot,Bubble,Stacked Area,Choropleth,Treemap,Area,Q_TotalDuration
198.27.173.91,6/9/21 11:08,NF,3,3,3,3,3,3,3,3,3,3,3,3,92
73.93.55.41,6/9/21 11:29,NF,1,1,2,2,2,2,1,2,3,2,2,2,475
99.110.214.168,6/9/21 11:50,NF,3,2,3,3,2,2,2,3,2,2,3,3,374
173.197.88.133,6/9/21 11:51,NF,1,1,2,2,1,1,1,2,3,3,2,2,387
172.3.143.142,6/9/21 12:01,NF,1,1,2,1,1,1,2,1,3,1,2,2,700
99.174.175.222,6/9/21 12:30,NF,1,1,2,3,1,1,1,2,2,2,1,2,505
73.158.74.241,6/9/21 20:39,NF,1,1,2,3,1,2,2,3,3,3,3,3,598
73.63.251.123,6/11/21 14:21,NF,1,1,1,2,1,1,1,2,2,2,1,1,350
24.7.62.89,6/17/21 10:01,NF,1,1,2,2,1,2,2,2,2,2,1,3,346
72.190.238.172,6/17/21 10:01,NF,1,1,1,1,1,2,1,2,3,3,1,3,288
193.110.203.36,6/17/21 10:07,NF,2,2,2,2,2,2,2,2,2,2,2,2,530
89.208.255.30,6/17/21 10:43,NF,1,1,1,1,1,2,3,3,3,3,3,2,757
50.0.190.238,5/19/21 13:57,CIF,1,1,1,2,1,1,1,1,2,1,2,2,496
73.71.223.92,5/19/21 14:10,CIF,1,1,1,1,1,1,1,1,1,1,1,1,389
148.64.110.63,5/19/21 14:10,CIF,1,1,1,1,1,1,1,1,1,2,2,1,608
72.199.138.21,5/19/21 14:15,CIF,1,1,2,2,1,1,1,1,2,1,1,2,520
73.189.232.103,5/19/21 14:20,CIF,1,1,2,2,1,1,1,1,1,1,1,1,479
24.5.42.227,5/19/21 14:29,CIF,1,1,1,1,1,1,1,1,1,1,1,1,695
69.181.181.85,6/9/21 11:46,CIF,1,1,2,2,1,1,1,2,3,3,2,2,471
73.71.40.66,6/9/21 12:08,CIF,1,1,2,3,1,3,2,3,3,3,1,3,649
67.169.152.106,6/9/21 12:12,CIF,1,1,2,3,2,2,2,3,3,2,3,2,577
18.163.50.202,6/9/21 12:15,CIF,1,1,2,2,1,1,2,3,2,3,1,2,563
69.181.228.212,6/17/21 9:57,CIF,1,1,3,3,1,2,1,3,3,3,1,3,400
51.15.125.199,6/17/21 10:22,CIF,1,1,2,2,1,1,1,2,3,3,3,3,510
73.15.1.195,7/10/21 14:50,CIF,1,1,1,1,1,1,1,1,1,3,2,1,601
24.5.85.250,7/23/21 16:03,CIF,1,1,2,3,1,1,1,2,3,2,2,2,1532
